product_id,product_name,category,cost_price,sale_price
10000001,Challenge Toy,Toys,60.11,130.08
10000002,Team Clothin,Clothing,115.49,249.16
10000003,Letter Toy,Toys,371.63,709.43
10000004,Let Sport,Sports,213.85,264.9
10000005,Even Clothin,Clothing,120.17,238.25
10000006,Nature Sport,Sports,103.42,211.48
10000007,Direction Sport,Sports,212.66,379.38
10000008,Perhaps Hom,Home,405.67,490.23
10000009,Including Clothin,Clothing,350.58,575.77
10000010,Mr Clothin,Clothing,111.58,244.64
10000011,Effort Electronic,Electronics,50.91,67.49
10000012,Population Hom,Home,303.84,683.42
10000013,Six Toy,Toys,232.42,316.62
10000014,Relate Beaut,Beauty,44.01,69.59
10000015,Arrive Toy,Toys,311.17,721.98
10000016,Guess Sport,Sports,100.18,129.27
10000017,Company Toy,Toys,117.81,185.69
10000018,Adult Electronic,Electronics,428.38,996.6
10000019,Third Beaut,Beauty,142.6,288.96
10000020,Region Hom,Home,85.51,142.1
10000021,Debate Toy,Toys,137.15,331.58
10000022,Future Toy,Toys,40.34,81.71
10000023,Different Sport,Sports,365.92,516.83
10000024,Southern Beaut,Beauty,138.62,333.11
10000025,Safe Toy,Toys,280.69,586.64
10000026,Stock Electronic,Electronics,118.38,147.0
10000027,Smile Hom,Home,203.58,261.81
10000028,Technology Sport,Sports,438.8,706.06
10000029,Example Toy,Toys,252.12,592.5
10000030,Too Toy,Toys,232.13,358.49
10000031,Point Clothin,Clothing,373.77,710.41
10000032,Process Toy,Toys,294.37,696.82
10000033,They Beaut,Beauty,184.19,459.83
10000034,Finally Clothin,Clothing,257.22,339.06
10000035,Station Electronic,Electronics,431.25,603.19
10000036,Front Clothin,Clothing,397.08,694.42
10000037,Answer Electronic,Electronics,195.46,385.97
10000038,To Beaut,Beauty,266.91,657.24
10000039,Physical Electronic,Electronics,341.74,460.98
10000040,Agree Sport,Sports,376.68,828.39
10000041,Performance Hom,Home,60.22,106.3
10000042,Phone Beaut,Beauty,6.61,14.14
10000043,Let Toy,Toys,135.38,250.56
10000044,Investment Clothin,Clothing,256.3,343.02
10000045,Paper Toy,Toys,152.73,310.14
10000046,Lead Sport,Sports,103.46,174.44
10000047,Style Clothin,Clothing,271.99,601.7
10000048,Seat Sport,Sports,459.65,909.48
10000049,Something Beaut,Beauty,14.64,35.25
10000050,Man Hom,Home,123.53,186.92
10000051,Least Sport,Sports,473.74,621.24
10000052,Thank Beaut,Beauty,408.93,1010.62
10000053,Rate Sport,Sports,384.09,525.02
10000054,Black Beaut,Beauty,473.69,670.11
10000055,Himself Sport,Sports,436.85,764.52
10000056,Paper Clothin,Clothing,464.81,1014.14
10000057,Walk Toy,Toys,104.57,167.86
10000058,Training Toy,Toys,326.69,578.09
10000059,Surface Sport,Sports,228.49,347.83
10000060,Blood Electronic,Electronics,172.35,338.63
10000061,Character Clothin,Clothing,296.28,358.31
10000062,Try Toy,Toys,317.4,475.35
10000063,Drug Electronic,Electronics,430.52,556.28
10000064,Culture Clothin,Clothing,142.85,261.56
10000065,Example Sport,Sports,70.49,170.32
10000066,Including Sport,Sports,290.22,439.94
10000067,Action Beaut,Beauty,404.71,585.83
10000068,Resource Electronic,Electronics,331.2,549.99
10000069,Establish Beaut,Beauty,236.18,507.27
10000070,To Toy,Toys,328.46,670.07
10000071,Rise Electronic,Electronics,204.3,335.28
10000072,Board Electronic,Electronics,128.08,185.37
10000073,Mouth Beaut,Beauty,74.39,107.01
10000074,Company Beaut,Beauty,128.65,308.79
10000075,His Beaut,Beauty,404.97,936.6
10000076,Total Electronic,Electronics,30.04,75.07
10000077,Arm Electronic,Electronics,484.65,1165.23
10000078,Around Clothin,Clothing,87.32,159.91
10000079,Go Clothin,Clothing,433.0,1027.59
10000080,Because Clothin,Clothing,192.59,477.8
10000081,Brother Hom,Home,463.63,1029.57
10000082,Talk Hom,Home,214.39,524.08
10000083,Blue Sport,Sports,332.63,609.6
10000084,Serve Clothin,Clothing,151.87,373.5
10000085,Bag Sport,Sports,369.19,472.28
10000086,End Hom,Home,33.3,65.25
10000087,Decade Sport,Sports,460.1,869.8
10000088,Thing Electronic,Electronics,480.59,626.76
10000089,Short Clothin,Clothing,38.92,50.14
10000090,Last Clothin,Clothing,204.87,496.62
10000091,Yet Sport,Sports,126.88,250.32
10000092,Other Sport,Sports,45.58,93.65
10000093,Positive Sport,Sports,263.78,637.06
10000094,Big Clothin,Clothing,336.51,541.26
10000095,Teacher Hom,Home,200.91,416.53
10000096,Still Hom,Home,231.33,556.98
10000097,Possible Electronic,Electronics,9.61,19.29
10000098,Imagine Sport,Sports,498.07,645.12
10000099,Market Clothin,Clothing,255.41,350.47
10000100,Right Hom,Home,441.03,1033.36
10000101,Think Hom,Home,146.07,258.49
10000102,Sell Sport,Sports,353.25,704.8
10000103,Special Toy,Toys,266.83,551.86
10000104,Far Sport,Sports,153.19,315.94
10000105,Lot Clothin,Clothing,135.91,320.29
10000106,Imagine Toy,Toys,278.85,433.35
10000107,Line Sport,Sports,109.26,179.81
10000108,International Toy,Toys,318.95,492.2
10000109,Machine Beaut,Beauty,129.31,307.84
10000110,Tax Electronic,Electronics,50.69,88.74
10000111,Eight Hom,Home,26.82,43.81
10000112,Thousand Clothin,Clothing,320.37,493.54
10000113,Color Toy,Toys,223.71,473.68
10000114,Test Sport,Sports,9.79,12.71
10000115,Ok Toy,Toys,452.44,863.83
10000116,Perhaps Hom,Home,293.34,408.48
10000117,Hundred Clothin,Clothing,25.71,43.04
10000118,Become Electronic,Electronics,449.97,662.85
10000119,Particular Clothin,Clothing,335.13,556.24
10000120,Line Sport,Sports,442.65,765.03
10000121,Work Sport,Sports,375.99,903.69
10000122,Leader Clothin,Clothing,432.98,1069.06
10000123,Hot Clothin,Clothing,441.3,543.78
10000124,These Toy,Toys,462.62,1025.68
10000125,Mr Beaut,Beauty,402.11,934.22
10000126,Region Clothin,Clothing,137.07,304.79
10000127,Know Electronic,Electronics,194.36,243.02
10000128,Media Beaut,Beauty,115.1,260.31
10000129,Painting Beaut,Beauty,178.08,403.65
10000130,List Clothin,Clothing,115.35,237.4
10000131,Never Beaut,Beauty,167.49,389.19
10000132,Conference Hom,Home,178.82,333.0
10000133,Loss Toy,Toys,490.67,930.84
10000134,It Electronic,Electronics,62.09,152.84
10000135,Both Clothin,Clothing,292.39,724.72
10000136,Inside Electronic,Electronics,58.66,103.53
10000137,Entire Toy,Toys,394.28,696.82
10000138,Value Sport,Sports,62.24,147.47
10000139,Defense Clothin,Clothing,131.09,278.1
10000140,Woman Electronic,Electronics,262.36,589.91
10000141,Upon Toy,Toys,361.12,781.66
10000142,Hope Toy,Toys,102.53,180.52
10000143,Attorney Toy,Toys,460.78,926.21
10000144,Herself Toy,Toys,424.77,907.17
10000145,Leave Hom,Home,256.03,529.2
10000146,Especially Hom,Home,204.19,323.51
10000147,Culture Clothin,Clothing,99.96,206.36
10000148,Themselves Beaut,Beauty,340.27,807.68
10000149,Style Sport,Sports,286.71,495.41
10000150,Project Electronic,Electronics,155.42,228.97
10000151,Should Sport,Sports,305.3,494.26
10000152,Unit Beaut,Beauty,223.87,330.84
10000153,Quite Beaut,Beauty,397.9,973.97
10000154,Administration Toy,Toys,89.0,116.61
10000155,Election Sport,Sports,333.61,668.9
10000156,Letter Electronic,Electronics,410.12,892.62
10000157,Thank Toy,Toys,158.66,356.75
10000158,Notice Clothin,Clothing,17.09,25.95
10000159,Today Beaut,Beauty,307.58,676.38
10000160,Also Beaut,Beauty,210.15,424.23
10000161,Industry Clothin,Clothing,360.58,612.69
10000162,Somebody Beaut,Beauty,125.77,258.19
10000163,Indeed Electronic,Electronics,446.87,1036.1
10000164,Population Electronic,Electronics,390.32,579.43
10000165,Mention Toy,Toys,261.39,330.73
10000166,Region Clothin,Clothing,459.15,623.42
10000167,Within Clothin,Clothing,401.7,830.66
10000168,Need Sport,Sports,299.75,729.91
10000169,Society Beaut,Beauty,308.26,658.15
10000170,Rate Sport,Sports,216.24,514.42
10000171,Receive Beaut,Beauty,449.12,973.13
10000172,Its Beaut,Beauty,227.78,495.95
10000173,Entire Toy,Toys,142.27,314.56
10000174,Visit Beaut,Beauty,315.24,490.82
10000175,Rock Electronic,Electronics,358.2,539.03
10000176,Poor Hom,Home,163.26,310.55
10000177,Whom Clothin,Clothing,79.66,135.26
10000178,Too Clothin,Clothing,354.68,455.23
10000179,Marriage Beaut,Beauty,168.79,304.78
10000180,Chance Electronic,Electronics,107.38,187.51
10000181,Us Sport,Sports,473.3,579.98
10000182,Police Sport,Sports,193.29,233.43
10000183,Leg Hom,Home,152.81,260.84
10000184,Training Beaut,Beauty,271.42,584.92
10000185,School Sport,Sports,449.42,824.55
10000186,Effort Hom,Home,220.74,273.22
10000187,Four Hom,Home,336.09,752.03
10000188,Quite Toy,Toys,86.7,156.72
10000189,Unit Clothin,Clothing,490.46,929.11
10000190,One Beaut,Beauty,297.99,614.43
10000191,See Electronic,Electronics,323.16,444.8
10000192,Rich Beaut,Beauty,94.96,146.07
10000193,Lead Hom,Home,109.77,178.37
10000194,Price Beaut,Beauty,142.74,347.8
10000195,Drug Beaut,Beauty,129.87,169.67
10000196,Trade Electronic,Electronics,375.77,476.37
10000197,Director Hom,Home,115.99,149.53
10000198,Industry Toy,Toys,24.93,30.92
10000199,Consumer Clothin,Clothing,103.68,127.16
10000200,Yeah Clothin,Clothing,123.08,223.47
10000201,Not Electronic,Electronics,284.16,421.51
10000202,Place Toy,Toys,131.84,221.43
10000203,These Sport,Sports,305.59,663.83
10000204,Trouble Electronic,Electronics,390.01,551.04
10000205,Turn Hom,Home,58.51,72.17
10000206,School Hom,Home,290.02,690.37
10000207,People Beaut,Beauty,201.34,428.76
10000208,Can Electronic,Electronics,298.09,679.57
10000209,Trip Clothin,Clothing,55.44,122.2
10000210,Return Toy,Toys,302.2,410.2
10000211,Else Sport,Sports,392.4,648.0
10000212,Good Beaut,Beauty,332.45,428.74
10000213,Always Toy,Toys,173.91,400.77
10000214,Create Beaut,Beauty,57.24,140.18
10000215,Despite Toy,Toys,446.33,802.35
10000216,Eight Clothin,Clothing,220.57,475.09
10000217,Remember Toy,Toys,138.69,312.14
10000218,Continue Sport,Sports,388.45,700.89
10000219,Employee Toy,Toys,298.27,482.9
10000220,Resource Clothin,Clothing,416.21,546.34
10000221,Television Beaut,Beauty,125.71,226.8
